aambaganrajhshahi,	Product/service · Fruit & vegetable shop,	https://www.facebook.com/aambaganrajhshahi,	01839-946226,	1345 likes,	Sunday 5 July 2020 at 09:29,	Monday 29 June 2020 at 08:28,	
imagicbangladesh,	Product/service,	https://www.facebook.com/imagicbangladesh,	,	6397 likes,	Wednesday 23 December 2020 at 04:15,	Wednesday 16 December 2020 at 19:07,	
arshicollection01,	Clothing (brand),	https://www.facebook.com/arshicollection01,	,	5048 likes,	,	,	
evaenterprise20,	Electronics,	https://www.facebook.com/evaenterprise20,	01311-925436,	3375 likes,	,	,	
JamdaniVillage,	Clothing (brand) · Women's clothes shop · Business service,	https://www.facebook.com/JamdaniVillage,	01798-863314,	7947 likes,	,	,	
dksriwaaj,	Clothing (brand) · Design & fashion,	https://www.facebook.com/dksriwaaj,	01317-247523,	827 likes,	Sunday 17 January 2021 at 05:25,	Wednesday 16 December 2020 at 02:01,	
maagraphicsbd,	Printing service,	https://www.facebook.com/maagraphicsbd,	01839-224667,	852 likes,	Saturday 16 January 2021 at 04:56,	Saturday 16 January 2021 at 10:41,	
rijvia.tajin,	Business service,	https://www.facebook.com/rijvia.tajin,	01685-163298,	457 likes,	Sunday 24 January 2021 at 04:58,	Monday 4 January 2021 at 06:36,	
sotejfruits,	Fruit & vegetable shop,	https://www.facebook.com/sotejfruits,	01873-928638,	26602 likes,	Thursday 31 December 2020 at 10:51,	Friday 4 December 2020 at 21:57,	
akterkonashimontini,	Women's clothes shop,	https://www.facebook.com/akterkonashimontini,	01716-638907,	1991 likes,	Friday 5 February 2021 at 12:51,	Friday 5 February 2021 at 03:06,	
adina01977166776,	Speciality food shop · Big box retailer · Product/service,	https://www.facebook.com/adina01977166776,	01977-166776,	202 likes,	Saturday 29 August 2020 at 06:29,	Saturday 8 August 2020 at 06:27,	Thursday 16 July 2020 at 21:59
salmahoque99,	Clothing (brand),	https://www.facebook.com/salmahoque99,	01645-154099,	5771 likes,	Friday 5 February 2021 at 09:50,	Friday 5 February 2021 at 22:29,	
bdayath,	Clothing (brand) · Clothes shop · Clothing company,	https://www.facebook.com/bdayath,	01811-010155,	164 likes,	Sunday 27 December 2020 at 23:57,	Friday 20 November 2020 at 08:58,	
DortheeBD,	Shopping & retail,	https://www.facebook.com/DortheeBD,	01743-460648,	485 likes,	Friday 15 January 2021 at 02:39,	Saturday 28 November 2020 at 06:01,	
